"",".data",".data_1",".data_2"
"1",2,0,1
"2",1,1,0
"3",1,1,0
"4",2,0,1
"5",2,0,1
"6",2,0,1
"7",2,0,1
"8",2,0,1
"9",1,1,0
"10",1,1,0
"11",2,0,1
"12",1,1,0
"13",2,0,1
"14",1,1,0
"15",1,1,0
"16",2,0,1
"17",1,1,0
"18",2,0,1
"19",1,1,0
"20",2,0,1
"21",1,1,0
"22",1,1,0
"23",2,0,1
"24",1,1,0
"25",1,1,0
"26",2,0,1
"27",1,1,0
"28",1,1,0
"29",2,0,1
"30",2,0,1
"31",2,0,1
"32",1,1,0
"33",2,0,1
"34",2,0,1
"35",1,1,0
"36",2,0,1
"37",2,0,1
"38",2,0,1
"39",1,1,0
"40",2,0,1
"41",1,1,0
"42",2,0,1
"43",1,1,0
"44",1,1,0
"45",2,0,1
"46",2,0,1
"47",1,1,0
"48",2,0,1
"49",2,0,1
"50",2,0,1
"51",1,1,0
"52",2,0,1
"53",2,0,1
"54",2,0,1
"55",2,0,1
"56",2,0,1
