Unnamed: 0,現在お住いの場所はどこですか_一人暮らし,現在お住いの場所はどこですか_実家,洗濯のめんどくさいと思う所を選択してください_天気によって乾き具合や取り入れが左右すること,洗濯のめんどくさいと思う所を選択してください_洗剤や柔軟剤の買い足し,洗濯のめんどくさいと思う所を選択してください_洗濯物をたたんだ後しまう場所に困る,洗濯のめんどくさいと思う所を選択してください_洗濯物を干す事,洗濯のめんどくさいと思う所を選択してください_洗濯物を洗濯機に入れる事,洗濯の頻度はどれくらいですか_それ以下,洗濯の頻度はどれくらいですか_ほぼ毎日,洗濯の頻度はどれくらいですか_週2~3回,どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか_全くない,どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか_半年に一度
1,1,0,0,0,0,1,0,0,0,1,0,1
2,1,0,1,0,0,0,0,0,0,1,0,0
3,1,0,1,0,0,0,0,1,0,0,1,0
4,0,0,0,0,0,1,0,0,0,0,1,0
6,1,0,0,0,0,0,0,0,0,1,1,0
7,1,0,0,0,0,1,0,0,0,1,1,0
8,1,0,0,0,0,0,0,0,0,1,0,1
9,1,0,0,0,0,1,0,0,0,1,0,1
10,1,0,0,0,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,0,0,1,0,1,0
13,1,0,0,0,0,0,0,0,0,1,1,0
14,1,0,1,0,0,0,0,0,0,1,1,0
16,1,0,0,0,0,1,0,0,0,1,1,0
17,1,0,0,0,0,1,0,0,0,1,0,1
18,1,0,0,0,0,0,0,0,1,0,0,1
20,1,0,0,0,0,0,0,0,0,1,1,0
21,1,0,0,1,0,0,0,0,0,1,0,0
23,0,0,0,0,0,0,0,0,1,0,1,0
24,0,1,0,0,0,1,0,0,1,0,0,1
25,0,1,0,0,0,0,0,0,1,0,1,0
26,0,1,0,0,1,0,0,0,1,0,0,1
27,0,1,0,0,0,0,0,0,1,0,0,1
28,0,1,0,0,0,1,0,0,1,0,0,1
29,0,1,0,0,0,1,0,0,1,0,1,0
30,0,1,0,0,0,0,0,0,1,0,0,1
31,0,1,0,0,1,0,0,0,1,0,0,1
32,0,1,0,0,0,0,0,0,1,0,0,1
33,1,0,0,0,0,0,0,0,0,1,1,0
34,0,1,0,0,0,0,0,0,1,0,0,1
35,1,0,0,0,0,1,0,0,0,1,1,0
36,1,0,0,0,0,1,0,0,0,1,1,0
37,1,0,0,0,0,0,0,0,0,1,1,0
39,1,0,0,0,0,1,0,0,0,1,1,0
40,0,1,1,0,0,0,0,0,1,0,1,0
41,0,1,0,0,0,1,0,0,1,0,1,0
42,1,0,0,0,0,1,0,0,0,1,0,1
43,0,1,0,0,0,0,0,0,1,0,0,1
44,1,0,0,0,0,0,0,0,0,0,1,0
45,1,0,0,0,0,1,0,0,0,1,0,1
47,1,0,0,0,0,1,0,0,1,0,0,1
48,0,0,0,0,0,0,0,0,0,1,1,0
51,0,1,0,0,0,0,0,0,0,1,1,0
52,0,1,0,0,0,1,0,0,1,0,0,1
53,1,0,0,0,0,0,1,0,0,0,1,0
54,1,0,0,0,0,1,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,1,0,0,1
56,1,0,1,0,0,0,0,0,1,0,0,1
57,1,0,0,0,0,1,0,0,0,1,0,1
60,0,1,0,0,1,0,0,0,0,1,1,0
61,1,0,0,0,0,0,0,0,0,1,0,0
62,1,0,0,0,0,0,0,0,0,1,0,1
63,0,0,0,0,0,1,0,0,0,1,1,0
65,1,0,0,0,0,0,0,0,0,1,1,0
66,1,0,0,0,0,1,0,0,0,1,1,0
67,1,0,0,0,0,1,0,0,0,1,0,1
68,1,0,0,0,0,1,0,0,0,0,1,0
