"","MBTIの4つ目のアルファベットはなんですか","現在お住いの場所はどこですか","自分のことを潔癖だと思いますか","自分のことを几帳面だと思いますか","大学の課題に追われてやりたいことができなかったことはどれくらいありますか","洗濯をする時間がないと思ったことはありますか","洗濯をするのがめんどくさいと思いますか","洗濯のめんどくさいと思う所を選択してください","洗濯の頻度はどれくらいですか","洗濯物を干すのに十分なスペースはありますか","洗濯物が乾かず困ったことはありますか","他人に自分の洗濯物を洗われるのは嫌ですか","X.1.2と答えた人へ.なぜ嫌だと感じますか","他人の洗濯物と一緒に洗われるのは嫌ですか","X.1.2と答えた人へ.なぜ嫌だと感じますか.1","出先で洗濯ができずに困った経験はありますか","外出先で自宅の洗濯に関して気がかりになった経験ありますか","どの程度洗濯物をクリーニングやコインランドリーで洗濯しますか","洗濯代行サービスがあるとしたら使いたいと思いますか"
"1",2,"一人暮らし",2,4,4,5,4,"洗濯物を干す事","週2~3回",4,4,5,"",5,"",1,2,"半年に一度",3
"2",1,"一人暮らし",2,2,2,3,2,"天気によって乾き具合や取り入れが左右すること","週2~3回",2,3,5,"",5,"",2,2,"月に一度",2
"3",1,"一人暮らし",2,3,5,5,5,"天気によって乾き具合や取り入れが左右すること","それ以下",4,1,5,"",5,"",2,1,"全くない",2
"4",2,"寮",4,2,4,1,5,"洗濯物を干す事","週1回",2,4,5,"",3,"",2,2,"全くない",4
"6",2,"一人暮らし",3,2,5,2,2,"洗濯物をたたむこと","週2~3回",2,1,1,"なんとなく",1,"気持ち悪いから",4,1,"全くない",1
"7",2,"一人暮らし",1,2,4,3,4,"洗濯物を干す事","週2~3回",2,4,5,"",5,"",1,2,"全くない",1
"8",2,"一人暮らし",1,1,5,4,1,"洗濯物をたたむこと","週2~3回",5,4,5,"",5,"",4,3,"半年に一度",5
"9",2,"一人暮らし",1,1,2,2,4,"洗濯物を干す事","週2~3回",2,4,5,"",5,"",5,5,"半年に一度",4
"10",1,"一人暮らし",2,2,3,1,2,"洗濯物の取り入れ","ほぼ毎日",2,4,2,"なんとなく",4,"",2,4,"月に一度",2
"12",1,"寮",4,4,2,1,1,"洗濯物をたたんだ後しまう場所に困る","ほぼ毎日",5,2,5,"",5,"",1,1,"全くない",1
"13",2,"一人暮らし",2,1,5,4,5,"洗濯物をたたむこと","週2~3回",5,1,5,"",5,"",1,1,"全くない",4
"14",1,"一人暮らし",2,1,4,4,5,"天気によって乾き具合や取り入れが左右すること","週2~3回",4,4,2,"洗濯物を見られたくないから",1,"気持ち悪いから",1,1,"全くない",2
"16",2,"一人暮らし",4,4,2,3,5,"洗濯物を干す事","週2~3回",3,1,5,"",5,"",1,1,"全くない",1
"17",1,"一人暮らし",2,4,2,4,5,"洗濯物を干す事","週2~3回",4,2,5,"",5,"",1,4,"半年に一度",2
"18",1,"一人暮らし",5,4,2,2,3,"洗濯物の取り入れ","ほぼ毎日",5,2,3,"",5,"",2,1,"半年に一度",1
"20",2,"一人暮らし",2,4,4,4,5,"洗濯物をたたむこと","週2~3回",4,2,5,"",2,"洗濯物が混ざってしまうから",1,4,"全くない",2
"21",1,"一人暮らし",2,2,4,2,5,"洗剤や柔軟剤の買い足し","週2~3回",4,5,5,"",5,"",3,4,"月に一度",2
"23",2,"Anjocity",1,1,1,4,5,"全て‼️","ほぼ毎日",3,5,5,"",5,"",2,1,"全くない",4
"24",1,"実家",4,4,4,1,2,"洗濯物を干す事","ほぼ毎日",4,4,4,"",4,"",5,4,"半年に一度",4
"25",2,"実家",5,2,1,3,5,"洗濯物の取り入れ","ほぼ毎日",5,5,1,"洗濯物を見られたくないから",1,"気持ち悪いから",1,5,"全くない",1
"26",1,"実家",4,4,1,1,2,"洗濯物をたたんだ後しまう場所に困る","ほぼ毎日",5,5,5,"",5,"",3,5,"半年に一度",1
"27",1,"実家",4,4,2,2,5,"洗濯物をたたむこと","ほぼ毎日",5,4,5,"",5,"",5,3,"半年に一度",2
"28",2,"実家",1,3,5,1,5,"洗濯物を干す事","ほぼ毎日",4,2,3,"",3,"",3,3,"半年に一度",5
"29",1,"実家",2,2,2,1,5,"洗濯物を干す事","ほぼ毎日",4,3,4,"",3,"",4,2,"全くない",1
"30",1,"実家",3,2,4,1,3,"洗濯方法が洗濯物によって変わること","ほぼ毎日",5,3,5,"",5,"",1,1,"半年に一度",1
"31",2,"実家",2,1,2,4,5,"洗濯物をたたんだ後しまう場所に困る","ほぼ毎日",5,2,4,"",5,"",4,2,"半年に一度",2
"32",1,"実家",3,3,3,4,4,"洗濯物をたたむこと","ほぼ毎日",4,3,5,"",5,"",2,2,"半年に一度",3
"33",1,"一人暮らし",2,2,1,5,1,"洗濯物をたたむこと","週2~3回",5,5,2,"慣れない柔軟剤の香りが落ち着かないから。",5,"",5,1,"全くない",1
"34",2,"実家",1,2,5,3,4,"洗濯物をたたむこと","ほぼ毎日",4,3,3,"",3,"",4,4,"半年に一度",4
"35",2,"一人暮らし",2,1,4,5,5,"洗濯物を干す事","週2~3回",4,4,5,"",5,"",1,1,"全くない",4
"36",2,"一人暮らし",4,3,2,2,4,"洗濯物を干す事","週2~3回",4,4,4,"",4,"",2,3,"全くない",1
"37",1,"一人暮らし",4,4,3,4,4,"洗濯物をたたむこと","週2~3回",5,4,2,"なんとなく",4,"",5,3,"全くない",1
"39",2,"一人暮らし",2,2,2,4,4,"洗濯物を干す事","週2~3回",4,2,4,"汚れた洗濯物を触られたくない",5,"",1,1,"全くない",4
"40",2,"実家",5,4,3,3,4,"天気によって乾き具合や取り入れが左右すること","ほぼ毎日",5,1,5,"",1,"気持ち悪いから",1,3,"全くない",1
"41",1,"実家",3,3,3,4,4,"洗濯物を干す事","ほぼ毎日",4,3,3,"",4,"",2,3,"全くない",3
"42",2,"一人暮らし",2,3,4,5,2,"洗濯物を干す事","週2~3回",4,4,4,"",5,"",5,4,"半年に一度",2
"43",2,"実家",3,2,4,3,5,"洗濯物をたたむこと","ほぼ毎日",4,4,5,"",5,"",2,2,"半年に一度",4
"44",2,"一人暮らし",2,1,5,5,5,"洗濯物の取り入れ","週1回",4,2,5,"",5,"",2,2,"全くない",3
"45",1,"一人暮らし",4,3,4,5,5,"洗濯物を干す事","週2~3回",5,1,5,"",5,"",5,1,"半年に一度",1
"47",2,"一人暮らし",4,3,4,5,2,"洗濯物を干す事","ほぼ毎日",5,3,5,"",4,"",4,4,"半年に一度",1
"48",1,"兄弟とだけ暮らしている。学校からの距離で考えると実家暮らし。",3,4,2,1,5,"洗濯物をたたむこと","週2~3回",5,1,2,"洗濯物を見られたくないから",2,"他人の洗濯物に泥やきつい汚れがついていると嫌",1,1,"全くない",4
"51",2,"実家",2,2,2,2,4,"洗濯物をたたむこと","週2~3回",4,4,5,"",4,"",3,3,"全くない",4
"52",1,"実家",4,4,1,4,4,"洗濯物を干す事","ほぼ毎日",3,4,5,"",4,"",4,2,"半年に一度",4
"53",1,"一人暮らし",2,2,4,2,5,"洗濯物を洗濯機に入れる事","週1回",3,4,2,"なんとなく",1,"気持ち悪いから",3,4,"全くない",2
"54",2,"一人暮らし",1,2,4,4,5,"洗濯物を干す事","週1回",5,1,5,"",5,"",1,1,"月に一度",2
"55",2,"一人暮らし",3,4,4,4,5,"洗濯物をたたむこと","ほぼ毎日",4,3,4,"",4,"",4,4,"半年に一度",2
"56",1,"一人暮らし",2,2,5,1,3,"天気によって乾き具合や取り入れが左右すること","ほぼ毎日",4,4,2,"洗濯物を見られたくないから",4,"",1,1,"半年に一度",2
"57",2,"一人暮らし",3,3,5,5,5,"洗濯物を干す事","週2~3回",4,5,4,"",3,"",2,3,"半年に一度",2
"60",2,"実家",2,1,3,2,5,"洗濯物をたたんだ後しまう場所に困る","週2~3回",3,2,5,"",5,"",1,1,"全くない",4
"61",2,"一人暮らし",2,2,3,4,1,"","週2~3回",5,4,3,"",5,"",4,4,"月に一度",5
"62",1,"一人暮らし",2,3,1,1,5,"洗濯物をたたむこと","週2~3回",5,1,5,"",5,"",1,1,"半年に一度",2
"63",2,"寮",2,4,4,4,5,"洗濯物を干す事","週2~3回",4,2,5,"",5,"",2,3,"全くない",2
"65",2,"一人暮らし",1,2,4,2,3,"洗濯物をたたむこと","週2~3回",2,4,2,"洗濯物を見られたくないから",4,"",2,2,"全くない",2
"66",2,"一人暮らし",2,1,4,4,4,"洗濯物を干す事","週2~3回",3,5,2,"洗濯物を見られたくないから",4,"",2,4,"全くない",2
"67",2,"一人暮らし",1,2,4,5,5,"洗濯物を干す事","週2~3回",5,5,5,"",2,"気持ち悪いから",4,4,"半年に一度",5
"68",2,"一人暮らし",4,1,2,4,4,"洗濯物を干す事","週1回",3,4,2,"なんとなく",5,"",3,4,"全くない",1
